name	party	state	SGID	thomas_id	bioguide_id	congress	number_of_bills
Reichert, David G.	Republican	WA	1549	1810.0	R000578	115	22
Moore, Gwen	Democrat	WI	1550	1811.0	M001160	115	18
Matsui, Doris O.	Democrat	CA	1551	1814.0	M001163	115	8
Sires, Albio	Democrat	NJ	1554	1818.0	S001165	115	10
McNerney, Jerry	Democrat	CA	1558	1832.0	M001166	115	15
McCarthy, Kevin	Republican	CA	1559	1833.0	M001165	115	10
Lamborn, Doug	Republican	CO	1560	1834.0	L000564	115	17
Perlmutter, Ed	Democrat	CO	1561	1835.0	P000593	115	7
Courtney, Joe	Democrat	CT	1562	1836.0	C001069	115	12
Bilirakis, Gus M.	Republican	FL	1564	1838.0	B001257	115	34
Castor, Kathy	Democrat	FL	1565	1839.0	C001066	115	10
Buchanan, Vern	Republican	FL	1566	1840.0	B001260	115	16
"Johnson, Henry C. ""Hank,"" Jr."	Democrat	GA	1569	1843.0	J000288	115	20
Loebsack, David	Democrat	IA	1572	1846.0	L000565	115	13
Roskam, Peter J.	Republican	IL	1574	1848.0	R000580	115	20
Yarmuth, John A.	Democrat	KY	1579	1853.0	Y000062	115	8
Sarbanes, John P.	Democrat	MD	1580	1854.0	S001168	115	8
Walberg, Tim	Republican	MI	1582	1855.0	W000798	115	26
Walz, Timothy J.	Democrat	MN	1583	1856.0	W000799	115	11
Ellison, Keith	Democrat	MN	1584	1857.0	E000288	115	36
Smith, Adrian	Republican	NE	1587	1860.0	S001172	115	11
Shea-Porter, Carol	Democrat	NH	1588	1861.0	S001170	115	15
Clarke, Yvette D.	Democrat	NY	1591	1864.0	C001067	115	23
Jordan, Jim	Republican	OH	1595	1868.0	J000289	115	2
Cohen, Steve	Democrat	TN	1605	1878.0	C001068	115	33
Welch, Peter	Democrat	VT	1606	1879.0	W000800	115	29
Tsongas, Niki	Democrat	MA	1610	1884.0	T000465	115	5
Latta, Robert E.	Republican	OH	1611	1885.0	L000566	115	23
Wittman, Robert J.	Republican	VA	1612	1886.0	W000804	115	19
Foster, Bill	Democrat	IL	1613	1888.0	F000454	115	28
Carson, Andre	Democrat	IN	1614	1889.0	C001072	115	12
Speier, Jackie	Democrat	CA	1615	1890.0	S001175	115	29
Scalise, Steve	Republican	LA	1617	1892.0	S001176	115	6
Fudge, Marcia L.	Democrat	OH	1620	1895.0	F000455	115	10
McClintock, Tom	Republican	CA	1624	1908.0	M001177	115	9
Hunter, Duncan D.	Republican	CA	1625	1909.0	H001048	115	15
Polis, Jared	Democrat	CO	1626	1910.0	P000598	115	25
Coffman, Mike	Republican	CO	1628	1912.0	C001077	115	19
Himes, James A.	Democrat	CT	1629	1913.0	H001047	115	14
Posey, Bill	Republican	FL	1631	1915.0	P000599	115	19
Rooney, Thomas J.	Republican	FL	1632	1916.0	R000583	115	8
Jenkins, Lynn	Republican	KS	1637	1921.0	J000290	115	24
Guthrie, Brett	Republican	KY	1638	1922.0	G000558	115	18
Pingree, Chellie	Democrat	ME	1643	1927.0	P000597	115	13
Paulsen, Erik	Republican	MN	1646	1930.0	P000594	115	39
Luetkemeyer, Blaine	Republican	MO	1647	1931.0	L000569	115	16
Harper, Gregg	Republican	MS	1648	1933.0	H001045	115	20
Lance, Leonard	Republican	NJ	1651	1936.0	L000567	115	25
Lujan, Ben Ray	Democrat	NM	1654	1939.0	L000570	115	39
Titus, Dina	Democrat	NV	1655	1940.0	T000468	115	12
