bill_id	bill_type	congress	introduced_at	bill_number	sponsor_SGID
hr4102-115	hr	115	2017-10-24	4102	306
hr99-115	hr	115	2017-01-03	99	1796
hr5121-115	hr	115	2018-02-27	5121	1940
hr7050-115	hr	115	2018-10-09	7050	210
hr4987-115	hr	115	2018-02-08	4987	1502
hr688-115	hr	115	2017-01-24	688	1626
hr5631-115	hr	115	2018-04-26	5631	1398
hr1437-115	hr	115	2017-03-08	1437	1954
hr2130-115	hr	115	2017-04-25	2130	1648
hr3095-115	hr	115	2017-06-28	3095	1966
hr6735-115	hr	115	2018-09-07	6735	1559
hr2632-115	hr	115	2017-05-24	2632	1422
hr2886-115	hr	115	2017-06-12	2886	1001
hr2383-115	hr	115	2017-05-04	2383	1763
hr5649-115	hr	115	2018-04-27	5649	1872
hr2360-115	hr	115	2017-05-04	2360	1840
hr5647-115	hr	115	2018-04-27	5647	1475
hr3991-115	hr	115	2017-10-06	3991	1833
hr4121-115	hr	115	2017-10-25	4121	1850
hr7258-115	hr	115	2018-12-11	7258	1817
hr1688-115	hr	115	2017-03-22	1688	1507
hr4700-115	hr	115	2017-12-20	4700	1654
hr2090-115	hr	115	2017-04-12	2090	1820
hr6542-115	hr	115	2018-07-26	6542	210
hr3551-115	hr	115	2017-07-28	3551	1961
hr4611-115	hr	115	2017-12-11	4611	1903
hr3027-115	hr	115	2017-06-22	3027	1996
hr6056-115	hr	115	2018-06-08	6056	1922
hr6603-115	hr	115	2018-07-26	6603	1647
hr7305-115	hr	115	2018-12-13	7305	608
hr5681-115	hr	115	2018-05-07	5681	1987
hr4342-115	hr	115	2017-11-09	4342	1758
hr2756-115	hr	115	2017-05-26	2756	1328
hr5556-115	hr	115	2018-04-18	5556	1695
hr2210-115	hr	115	2017-04-27	2210	1754
hr1422-115	hr	115	2017-03-08	1422	1706
hr3295-115	hr	115	2017-07-19	3295	1212
hr4380-115	hr	115	2017-11-13	4380	1316
hr1915-115	hr	115	2017-04-05	1915	1191
hr6054-115	hr	115	2018-06-08	6054	1905
hr5261-115	hr	115	2018-03-13	5261	1749
hr7109-115	hr	115	2018-10-30	7109	854
hr4948-115	hr	115	2018-02-06	4948	1613
hr6606-115	hr	115	2018-07-26	6606	1756
hr6178-115	hr	115	2018-06-21	6178	1692
hr5951-115	hr	115	2018-05-23	5951	1406
hr2273-115	hr	115	2017-05-01	2273	1844
hr6764-115	hr	115	2018-09-10	6764	1832
hr3063-115	hr	115	2017-06-26	3063	1580
hr1095-115	hr	115	2017-02-15	1095	1078
hr2043-115	hr	115	2017-04-06	2043	705
hr4248-115	hr	115	2017-11-03	4248	1731
hr7201-115	hr	115	2018-11-29	7201	1082
hr4015-115	hr	115	2017-10-11	4015	1775
hr6230-115	hr	115	2018-06-26	6230	1459
hr1580-115	hr	115	2017-03-16	1580	1678
hr3003-115	hr	115	2017-06-22	3003	450
hr2237-115	hr	115	2017-04-28	2237	1816
hr3391-115	hr	115	2017-07-25	3391	1729
hr5050-115	hr	115	2018-02-15	5050	1896
hr4633-115	hr	115	2017-12-12	4633	1694
hr6374-115	hr	115	2018-07-13	6374	1844
hr5241-115	hr	115	2018-03-09	5241	1904
hr1720-115	hr	115	2017-03-24	1720	640
hr2408-115	hr	115	2017-05-11	2408	187
hr6441-115	hr	115	2018-07-19	6441	1669
hr5950-115	hr	115	2018-05-23	5950	1001
hr6292-115	hr	115	2018-06-28	6292	1706
hr559-115	hr	115	2017-01-13	559	1955
hr2521-115	hr	115	2017-05-18	2521	1451
hr3227-115	hr	115	2017-07-13	3227	1459
hr1065-115	hr	115	2017-02-15	1065	1820
hr2000-115	hr	115	2017-04-06	2000	1846
hr883-115	hr	115	2017-02-06	883	1806
hr5233-115	hr	115	2018-03-08	5233	1346
hr4458-115	hr	115	2017-11-28	4458	1756
hr450-115	hr	115	2017-01-11	450	617
hr3887-115	hr	115	2017-09-28	3887	1861
hr5365-115	hr	115	2018-03-21	5365	1667
hr3697-115	hr	115	2017-09-07	3697	1895
hr904-115	hr	115	2017-02-07	904	1520
hr781-115	hr	115	2017-02-01	781	1617
hr1470-115	hr	115	2017-03-09	1470	1916
hr3284-115	hr	115	2017-07-18	3284	1913
hr5115-115	hr	115	2018-02-27	5115	1614
hr3276-115	hr	115	2017-07-18	3276	1881
hr2148-115	hr	115	2017-04-26	2148	1828
